COD_MUNIC_IBGE,MUNIC_PROPONENTE,UF_PROPONENTE,IDENTIF_FORNECEDOR,count,soma_por_fornecedor
1100049,CACOAL,RO,10392569000101,1,1496.09
1100049,CACOAL,RO,10552726000190,6,343132.08
1100049,CACOAL,RO,10576469000127,5,831370.89
1100049,CACOAL,RO,10663308000170,2,62500.0
1100049,CACOAL,RO,10692423000173,3,210528.71
1100049,CACOAL,RO,10713114000132,1,1400.0
1100049,CACOAL,RO,10751384000138,1,20300.0
1100049,CACOAL,RO,10777579000157,1,50190.0
1100049,CACOAL,RO,11094173000132,1,987.6
1100049,CACOAL,RO,11204661000155,4,1012129.8699999999
1100049,CACOAL,RO,11488758000137,1,16e3
1100049,CACOAL,RO,11496215000161,1,124e3
1100049,CACOAL,RO,12209627000136,3,361257.51
1100049,CACOAL,RO,12559500000147,3,48879.759999999995
1100049,CACOAL,RO,14594006000149,6,959998.0
1100049,CACOAL,RO,14740002000121,1,22650.0
1100049,CACOAL,RO,16958226000130,12,792069.55
1100049,CACOAL,RO,17333314000109,1,126300.0
1100049,CACOAL,RO,17410111000179,2,38999.0
1100049,CACOAL,RO,18809041000199,1,17100.0
1100049,CACOAL,RO,19614838000101,2,107699.0
1100049,CACOAL,RO,20483193000196,1,779.0
1100049,CACOAL,RO,21151514000118,1,2200.0
1100049,CACOAL,RO,21841804000193,2,7975.0
1100049,CACOAL,RO,22881858000145,4,72956.96
1100049,CACOAL,RO,29979036000140,12,20314.43
1100049,CACOAL,RO,33023797000282,4,964807.19
1100049,CACOAL,RO,34477133000175,4,7178.5
1100049,CACOAL,RO,56433253000103,1,41200.0
1100049,CACOAL,RO,60850617000128,1,343500.0
1100049,CACOAL,RO,61591459000100,1,174748.0
1100049,CACOAL,RO,63780217000181,3,273901.99
1100049,CACOAL,RO,84582493000105,4,142559.66
1100049,CACOAL,RO,84652288000179,6,11850.0
1100049,CACOAL,RO,84652296000115,1,253e3
1100049,CACOAL,RO,88610324000192,1,120100.0
1100049,CACOAL,RO,89422042000124,1,104950.0
1100049,CACOAL,RO,92823764000103,2,25438.0
1100049,CACOAL,RO,95863684000161,1,6620.0
1100056,CEREJEIRAS,RO,02205692000130,9,894811.25
1100056,CEREJEIRAS,RO,02364225000152,30,1955487.53
1100056,CEREJEIRAS,RO,03362758000168,3,31920.0
1100056,CEREJEIRAS,RO,03482383000170,23,3009071.06
1100056,CEREJEIRAS,RO,03614482000168,1,91350.0
1100056,CEREJEIRAS,RO,04252060000152,2,141142.34
1100056,CEREJEIRAS,RO,04910717000121,5,1162e3
1100056,CEREJEIRAS,RO,06087679000184,1,34200.0
1100056,CEREJEIRAS,RO,07164059000164,11,251022.83
1100056,CEREJEIRAS,RO,07387935000111,1,97150.0
1100056,CEREJEIRAS,RO,08012094000120,6,127383.19
1100056,CEREJEIRAS,RO,08206867000100,1,341200.0
1100056,CEREJEIRAS,RO,08440584000390,1,199e3
1100056,CEREJEIRAS,RO,09049250000190,3,83500.0
1100056,CEREJEIRAS,RO,10602494000138,3,200397.65000000002
1100056,CEREJEIRAS,RO,10707442000126,1,85e3
1100056,CEREJEIRAS,RO,10726497000183,4,51205.44
