cidade,UF,gini_valor_convenio,gini_valor_fornecedor,coef
PALMEIRA DOS INDIOS,AL,0.3607017264537924,0.7852023187145927,2.176874301196839
PARICONHA,AL,0.279612907957727,0.5133722824817375,1.8360106700058039
PENEDO,AL,0.32668015448000753,0.4087542172331604,1.251236757506112
POCO DAS TRINCHEIRAS,AL,0.2722702666934764,0.5719089248433931,2.1005192075829995
QUEBRANGULO,AL,0.2887976651837838,0.5428819484252811,1.879800337304681
TAQUARANA,AL,0.3171354493242231,0.7181566224415428,2.264510712920447
APUI,AM,0.2898931091279082,0.6268090617582558,2.1622075241591605
BORBA,AM,0.27908322743306435,0.6349273580011969,2.275046636951619
CAREIRO,AM,0.33107734358395957,0.8163799377769179,2.4658284645499697
ITAMARATI,AM,0.4632990309516609,0.5070169234932782,1.0943621497584757
JURUA,AM,0.4193170305850509,0.5275114470104636,1.258025332943083
MANAUS,AM,0.7725577844098808,0.9598902142789443,1.2424833891385323
PRESIDENTE FIGUEIREDO,AM,0.30942522338083256,0.3778265434478474,1.221059289606873
RIO PRETO DA EVA,AM,0.38068737634542504,0.4617491694837872,1.212935332704095
LARANJAL DO JARI,AP,0.35349209808382387,0.651155405533423,1.8420649543883552
MACAPA,AP,0.35688897832236144,0.735699623052851,2.0614243300848796
MAZAGAO,AP,0.3562831312455206,0.6379509039500038,1.790572856255665
PORTO GRANDE,AP,0.3117480921057325,0.37784713735740416,1.2120271043367075
SANTANA,AP,0.43442041516273644,0.5129817829473926,1.1808417952807917
TARTARUGALZINHO,AP,0.3170199014260131,0.48735779256869094,1.537309772593036
ABAIRA,BA,0.30174896310002586,0.8647856653529518,2.865910976026408
ALAGOINHAS,BA,0.3028928981704375,0.7121318496204454,2.351101177749402
AMERICA DOURADA,BA,0.2285487124675285,0.2697734490616823,1.1803761489140348
ANDARAI,BA,0.20188712184927438,0.6650893879465323,3.2943626213220134
ANGUERA,BA,0.24145211585909365,0.42629087056937154,1.7655296539962644
ARACI,BA,0.31205417696175664,0.35084866859302344,1.1243197319419993
BARRA,BA,0.3069496013846984,0.3611675234918179,1.1766346066668074
BARRA DO MENDES,BA,0.27513265935984155,0.41750571530256275,1.5174705768264094
BELMONTE,BA,0.3138542366427828,0.471115446621871,1.501064480318222
BELO CAMPO,BA,0.330505443973395,0.3266476268170375,0.9883275231113349
BRUMADO,BA,0.21680662743084156,0.4753595480979067,2.1925508169695602
CAETITE,BA,0.1767340676335758,0.4806129161928565,2.7194129724288088
CANARANA,BA,0.32474316767122335,0.673608270683714,2.074280039559412
CANDIBA,BA,0.19473599373618766,0.32019239239704467,1.6442383673087937
CANDIDO SALES,BA,0.3655306253719117,0.6268310837240816,1.7148524370189444
CANUDOS,BA,0.3721803486177815,0.332351318779482,0.8929845974237539
CASA NOVA,BA,0.45308675792000797,0.6938319303227062,1.5313445343401573
CONCEICAO DO COITE,BA,0.26119073690288586,0.4859059967613697,1.8603492701275848
CORIBE,BA,0.37153051171092333,0.6389895261675229,1.7198843864126598
CORONEL JOAO SA,BA,0.30315229295177915,0.38889837207856104,1.2828481958420188
CRUZ DAS ALMAS,BA,0.3207687964893733,0.7169777151923675,2.2351853516902795
CURACA,BA,0.2991460163105253,0.3954327918976901,1.3218721638840591
